label	text
0	it may not be history  but then again , what if it is ?  but it makes for one of the most purely enjoyable and satisfying evenings at the movies i've had in a while .
0	begins like a docu-drama but builds its multi-character story with a flourish .
1	a wretched movie that reduces the second world war to one man's quest to find an old flame .
0	what makes the movie work  to an admittedly limited extent  is the commitment of two genuinely engaging performers . weaver and lapaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk .
1	the movie feels like it's going to be great , and it carries on feeling that way for a long time , but takeoff just never happens .
0	this documentary is a dazzling , remarkably unpretentious reminder of what [evans] had , lost , and got back .
0	pray has really done his subject justice .
0	it's surprisingly decent , particularly for a tenth installment in a series .
1	tries so hard to be quirky and funny that the strain is all too evident .
0	makes s&m seem very romantic , and maggie gyllenhaal is a delight .
1	[davis] has a bright , chipper style that keeps things moving , while never quite managing to connect her wish-fulfilling characters to the human race .
0	not for the prurient or squeamish , it's a daring if overlong examination of an idolized culture , self-loathing and sexual politics .
1	for anyone who grew up on disney's 1950 treasure island , or remembers the 1934 victor fleming classic , this one feels like an impostor .
0	an affectionately goofy satire that's unafraid to throw elbows when necessary . . .
0	the stars may be college kids , but the subject matter is as adult as you can get : the temptations of the flesh are unleashed by a slightly crazed , overtly determined young woman and a one-night swim turns into an ocean of trouble .
0	a clever blend of fact and fiction .
0	george clooney , in his first directorial effort , presents this utterly ridiculous shaggy dog story as one of the most creative , energetic and original comedies to hit the screen in years .
1	a sequence of ridiculous shoot-'em-up scenes .
0	angel presents events partly from the perspective of aurelie and christelle , and infuses the film with the sensibility of a particularly nightmarish fairytale .
0	contradicts everything we've come to expect from movies nowadays . instead of simply handling conventional material in a conventional way , secretary takes the most unexpected material and handles it in the most unexpected way .
0	the trinity assembly approaches the endeavor with a shocking lack of irony , and george ratliff's documentary , hell house , reflects their earnestness  which makes for a terrifying film .
1	sets animation back 30 years , musicals back 40 years and judaism back at least 50 .
1	anyone who can count to five ( the film's target market ? ) can see where this dumbed-down concoction is going .
0	peppering this urban study with references to norwegian folktales , villeneuve creates in maelstrom a world where the bizarre is credible and the real turns magical .
0	it's virtually impossible to like any of these despicable characters .
0	talk to her is not the perfect movie many have made it out to be , but it's still quite worth seeing .
1	how do you spell cliché ?
1	rosenthal ( halloween ii ) seems to have forgotten everything he ever knew about generating suspense .
1	[green is] the comedy equivalent of saddam hussein , and i'm just about ready to go to the u . n . and ask permission for a preemptive strike .
0	an undeniably gorgeous , terminally smitten document of a troubadour , his acolytes , and the triumph of his band .
1	admirably ambitious but self-indulgent .
1	co-writer/director jonathan parker's attempts to fashion a brazil-like , hyper-real satire fall dreadfully short .
0	i'd be lying if i said my ribcage didn't ache by the end of kung pow .
1	as the latest bid in the tv-to-movie franchise game , i spy makes its big-screen entry with little of the nervy originality of its groundbreaking small-screen progenitor .
1	a morose little soap opera about three vapid , insensitive people who take turns hurting each other . it's a feature-length adaptation of one of those " can this marriage be saved ? " columns from ladies home journal . . .
